Name,Date,Close,Open,High,Low,Vol.,Change %
HSBA,2019-03-14,621.2,619,622.7,617.6,30000000,0.0018
HSBA,2019-03-13,620.1,623.9,623.9,619.1,23250000,-0.0102
HSBA,2019-03-12,626.5,624.8,630.03,619.3,21180000,0.0032
HSBA,2019-03-11,624.5,628,630,624.5,20230000,0.0008
HSBA,2019-03-08,624,622.3,626.5,620.8,18130000,-0.0003
HSBA,2019-03-07,624.2,625.7,628.4,621.2,24180000,0.0016
HSBA,2019-03-06,623.2,625.2,627.3,623,14690000,-0.0003
HSBA,2019-03-05,623.4,619.6,624.8,618.9,19980000,0.0087
HSBA,2019-03-04,618,617.5,619.1,615.5,26950000,0.0064
HSBA,2019-03-01,614.1,616,617.1,612,19340000,0.002
HSBA,2019-02-28,612.9,615.3,619.04,611.2,33780000,-0.006
HSBA,2019-02-27,616.6,614.4,617.8,611,28440000,0.0036
HSBA,2019-02-26,614.4,619.8,619.8,609.9,25930000,-0.0116
HSBA,2019-02-25,621.6,624,625.6,619.35,24570000,-0.003
HSBA,2019-02-22,623.5,630.2,630.4,621.6,25910000,0.0006
HSBA,2019-02-21,623.1,635.5,637.1,623.1,36520000,-0.0316
HSBA,2019-02-20,643.4,641.2,649,641.2,27210000,0.0099
HSBA,2019-02-19,637.1,647,651.59,631.2,52400000,-0.0401
HSBA,2019-02-18,663.7,665.2,667,660.6,16680000,-0.0033
HSBA,2019-02-15,665.9,658.9,670,657.5,19710000,0.0076
HSBA,2019-02-14,660.9,664,665.6,659.1,17430000,0.003
BP,2019-03-14,551.6,548,554.14,546.6,38670000,0.0069
BP,2019-03-13,547.8,536.6,547.8,534.2,33740000,0.0209
BP,2019-03-12,536.6,535.1,538.2,528.1,28770000,0.0019
BP,2019-03-11,535.6,537.6,538.8,534.3,24640000,0.0024
BP,2019-03-08,534.3,535.6,537.8,529.9,34260000,-0.0118
BP,2019-03-07,540.7,536.7,543,535.1,21880000,0.005
BP,2019-03-06,538,536.9,540,536.1,28950000,-0.0006
BP,2019-03-05,538.3,537.5,540.3,534.7,34870000,0.0041
BP,2019-03-04,536.1,535,537.4,532.24,32880000,0.0058
BP,2019-03-01,533,535.9,535.9,532.2,30980000,-0.0026
BP,2019-02-28,534.4,532,534.4,529.1,54090000,0.0007
BP,2019-02-27,534,530,534.19,528.44,39750000,0.0019
BP,2019-02-26,533,534.1,534.3,527,38430000,-0.0074
BP,2019-02-25,537,540.7,543.9,536.7,28470000,-0.0002
BP,2019-02-22,537.1,536.7,542.8,535.1,21760000,-0.0033
BP,2019-02-21,538.9,537.9,539.3,532.8,27020000,-0.0009
BP,2019-02-20,539.4,538.3,540.7,535.6,22490000,0.0048
BP,2019-02-19,536.8,538.61,541.9,535.4,21190000,-0.0022
BP,2019-02-18,538,544.4,544.6,536.9,25250000,-0.0101
BP,2019-02-15,543.5,540.8,549.26,539,27520000,0.0048
BP,2019-02-14,540.9,545.9,548,540.04,27680000,-0.0187
LLOY,2019-03-14,63.82,63,64.12,62.8,133290000,0.02
LLOY,2019-03-13,62.57,62.22,62.81,61.78,115560000,0.0037
LLOY,2019-03-12,62.34,62.5,63.92,62.24,158460000,0.0089
LLOY,2019-03-11,61.79,62.3,62.51,61.71,113230000,-0.0013
LLOY,2019-03-08,61.87,61.43,62.06,61.32,75890000,-0.0045
LLOY,2019-03-07,62.15,62.42,63.01,61.27,108680000,-0.0121
LLOY,2019-03-06,62.91,62.66,62.96,62.11,166700000,-0.0002
LLOY,2019-03-05,62.92,63.5,63.5,62.5,129470000,-0.0024
LLOY,2019-03-04,63.07,62.5,63.53,62.48,126180000,0.0035
LLOY,2019-03-01,62.85,64,64.03,62.81,159850000,-0.0109
LLOY,2019-02-28,63.54,62.64,63.63,62.25,218480000,0.0105
LLOY,2019-02-27,62.88,61.9,63.22,61.53,229600000,0.0158
LLOY,2019-02-26,61.9,60.13,62.12,60.09,199910000,0.0226
LLOY,2019-02-25,60.53,60.38,60.73,59.93,78760000,0.0088
LLOY,2019-02-22,60,60.03,60.6,59.8,122890000,-0.0055
LLOY,2019-02-21,60.33,61.97,62,59.71,167980000,-0.0131
LLOY,2019-02-20,61.13,59.5,61.82,58.48,282180000,0.0473
LLOY,2019-02-19,58.37,58.38,58.82,57.98,112710000,0.0009
LLOY,2019-02-18,58.32,58.28,58.67,58.08,73740000,-0.0021
LLOY,2019-02-15,58.44,57.23,58.7,57.23,143190000,0.0181
LLOY,2019-02-14,57.4,58.03,58.21,57.39,86780000,-0.008
